Store_Id,Store_name,Product ID,Product Name,Department,Category,Price,Stock Availability,Aisle Location,Store-Specific Notes
1144,NEW IN TOWN,1001,Fitbit Smartwatch,APPLIANCES,Electronics,1883,Yes (11 units),Aisle 9,Online order available
1144,NEW IN TOWN,2001,Nike Running Shoes,SHOES,Footwear,86,Yes (88 units),Aisle 8,Limited to 1 per customer
1144,NEW IN TOWN,1002,Apple iPhone 15,APPLIANCES,Electronics,768,Yes (58 units),Aisle 11,Limited to 2 per customer
1144,NEW IN TOWN,2002,Under Armour Trainers,SHOES,Footwear,182,Yes (51 units),Aisle 10,Buy 1 Get 1 50% Off
1144,NEW IN TOWN,1003,Bose Sound System,APPLIANCES,Electronics,1682,No (Restocking in 2 days),Aisle 5,Online order available
1144,NEW IN TOWN,2003,Vans Skate Shoes,SHOES,Footwear,119,No (Restocking in 2 days),Aisle 8,Buy 1 Get 1 50% Off
1144,NEW IN TOWN,1004,Sony 55-inch TV,APPLIANCES,Electronics,2946,No (Restocking in 2 days),Aisle 11,
1144,NEW IN TOWN,2004,Adidas Sneakers,SHOES,Footwear,215,No (Restocking in 2 days),Aisle 8,Buy 1 Get 1 50% Off
1144,NEW IN TOWN,1005,Fitbit Smartwatch,APPLIANCES,Electronics,1281,No (Restocking in 2 days),Aisle 12,Online order available
1144,NEW IN TOWN,2005,Nike Running Shoes,SHOES,Footwear,121,Yes (34 units),Aisle 1,Alternative: Adidas available
1144,NEW IN TOWN,1006,Panasonic Microwave,APPLIANCES,Electronics,2766,Yes (96 units),Aisle 10,10% discount for members
1144,NEW IN TOWN,2006,Under Armour Trainers,SHOES,Footwear,185,No (Restocking in 2 days),Aisle 7,
1144,NEW IN TOWN,1007,Samsung Galaxy S23,APPLIANCES,Electronics,123,No (Restocking in 2 days),Aisle 14,Limited to 2 per customer
1144,NEW IN TOWN,2007,Nike Running Shoes,SHOES,Footwear,151,No (Restocking in 2 days),Aisle 14,Alternative: Adidas available
1144,NEW IN TOWN,1008,Apple MacBook Air,APPLIANCES,Electronics,2566,Yes (89 units),Aisle 6,Online order available
1144,NEW IN TOWN,2008,Vans Skate Shoes,SHOES,Footwear,203,Yes (57 units),Aisle 7,Limited to 1 per customer
1144,NEW IN TOWN,1009,Bose Sound System,APPLIANCES,Electronics,152,Yes (39 units),Aisle 15,Online order available
1144,NEW IN TOWN,2009,Reebok Walking Shoes,SHOES,Footwear,296,Yes (61 units),Aisle 8,Limited to 1 per customer
1144,NEW IN TOWN,1010,Fitbit Smartwatch,APPLIANCES,Electronics,237,Yes (64 units),Aisle 17,10% discount for members
1144,NEW IN TOWN,2010,Skechers Casual Shoes,SHOES,Footwear,242,Yes (64 units),Aisle 9,Buy 1 Get 1 50% Off
1144,NEW IN TOWN,1011,Dyson Vacuum Cleaner,APPLIANCES,Electronics,1806,No (Restocking in 2 days),Aisle 2,Online order available
1144,NEW IN TOWN,2011,New Balance Joggers,SHOES,Footwear,240,No (Restocking in 2 days),Aisle 3,Limited to 1 per customer
1144,NEW IN TOWN,1012,Panasonic Microwave,APPLIANCES,Electronics,585,Yes (44 units),Aisle 19,Limited to 2 per customer
1144,NEW IN TOWN,2012,Asics Trail Shoes,SHOES,Footwear,179,No (Restocking in 2 days),Aisle 15,
1144,NEW IN TOWN,1013,Samsung Galaxy S23,APPLIANCES,Electronics,1994,No (Restocking in 2 days),Aisle 10,10% discount for members
1144,NEW IN TOWN,2013,Adidas Sneakers,SHOES,Footwear,157,No (Restocking in 2 days),Aisle 5,Alternative: Adidas available
